batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - YSK Podcast 🎙️,"yskpodcast, youshouldknowpodcast",yskpodextra,362800,3653,23900,462
1,1,09.08 lançamento - Meno Felps,,notburnttoasthehe,219200,3049,26200,2960
1,2,original sound - Brooke 👩🏼‍🎤,,diamantblazi,35700,452,2866,352
1,3,original sound - cadaea,,cadaea,117200,1829,15000,1155
1,4,Linea Del Perreo - Uzielito Mix & Yeri Mua & El Jordan 23,"yerimua, parati, scz",xime__aran,128500,2067,12800,715
1,5,original sound - Logan Paul,"@ksi, @drinkprime, patrickmahomes",loganpaul,1400000,2881,70900,3836
1,6,original sound - Lala,"foryou, messyroom, fyp, mom",lala_sadii,381300,2319,24700,420
1,7,original sound - hunjoe,,hunjoe,204100,483,30900,1732
1,8,original sound - Grandview HS Cheer,thejiggyprince,thejiggyprince,122500,141900,9801,1142
1,9,orijinal ses - caner,,infamous_wu13,446700,4736,53000,950
2,0,original sound - lukvi ♫,"fyp, foryou, sturdy, alibaba%F0%9F%92%AB",alibaba_rcm,119600,996,9481,209
2,1,original sound - Yaku,"fyp%E3%82%B7, fyp, viral, edit",zhr_yahya,606000,14700,75300,10700
2,2,#CERTIFIED (feat. DJ Ess) (DJ Ess Mix) - BabyTron,"lightcheeselarry, fyp, viral, dominicanrepublic, trickshots, viraltiktok, tiktokindia",lightcheese.larry,11700,188,494,227
2,3,original sound - mabu😇,"yeat, lilmabu, lean, summrs, kankan, undergroundrap, scooter",lilmabu,177700,556,7868,284
2,4,original sound - ㅤ,"@nevstudioofficial, nevstudio",arshia_._bk,211200,6757,22800,2544
2,5,All I Do Is Win - DJ Khaled,"tall, tallfamily",thattallfamily,7589,600,415,45
2,6,original sound - Funny facts,"facts, curiosity, randomfacts, learnontiktok, factsyoudidntknow, viral",funnyfactsvn,497000,72800,61900,431800
2,7,original sound - Lala,"foryou, fyp, school",lala_sadii,313700,2676,18100,204
2,8,original sound - Bleade,,brookemonk_,357200,873,35700,806
