batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - Gavin.kernstinee,igmirandahhmarie,mirandahshaul,407000,1752,44000,7057
1,1,original sound - Didios,"boys, randomfacts, advice",didiios,695400,43800,86400,268500
1,2,I Wouldnt Mind - ♱,"christiantiktok, christianhumor, christianjokes, christiancomedy, christian, christianitytiktok, godisgood, jesussaves, jesusislord",dangmattsmith,162600,2899,21000,671
1,3,original sound - Alex,,vaynessvalery,244800,803,36500,6319
1,4,som original - rinx,"therianboy, fyp, therianthropy, quadrobics, dlaciebie, handmade, realwolfmask, therianwolf",wolf.spectrum,1319,210,624,3
1,5,AIN'T GONNA ANSWER - NLE Choppa & Lil Wayne,@gavinmagnus,lovealwayspiper,143900,3715,9952,812
1,6,original sound - slspalace,"candaceowens, candacereacts, lilrt, children, rapping",sealspalace,144700,12000,31800,1624
1,7,original sound - ren ( fan acc ),"capcut, @ptsmash, @okdunkz, @hubxmango, @ae.bases, @pedqrx, @7hanel, @.dilaurentisfx, _edits_tik_fp, edit, _edits_tik_, template, velocity, aftereffects, ae, charlidamelio",.edits_tikfp,94600,1486,44500,399
1,8,original sound - JSCM_movies,"movies, foryou, movie, movieclips, fyp",jscm_movies6,589700,19800,112100,12800
1,9,original sound - ICE SPICE FAN,"@icespicee, icespice, icespicecult, icespiceperformance, scarlettour, icespiceisqueen, icespiceeedit, icespicefans, icespicefan, icespicebronx, trending",icespice_baddie1,77900,532,11800,689
1,10,original sound - south.parkour,"fyp, adoptme, friend, %F0%9F%A4%B7%E2%80%8D%E2%99%80%EF%B8%8F, viral, @0mgxmel0dy, @anthrbckupleahxh, @vincntt0, @2024weviee",..gorgmiaxo,143,26,16,1
2,0,UH THANKS FOR USING MY SOUND - ☆ Clyde / Luna ☆,,vera.jrr,237500,11100,23200,871
2,1,som original - Peter ♚,,audizgod,308900,967,39300,3265
2,2,"Fine, I'll Do It Myself - turkunsesii",igmirandahhmarie,mirandamarieox,320800,2158,28500,3765
2,3,original sound - Lara,"fyp, skit",wittlelararose,17700,61,4265,40
2,4,AIN'T GONNA ANSWER - NLE Choppa & Lil Wayne,,nevaaadaa,107700,1553,9338,340
2,5,wiseman - audios for edits,"school, friends, fyp, relatable, girlhood",lenchen_946,469200,5618,31900,6133
2,6,Asn - thsituan._.,,ccabots,202100,4689,123600,3801
2,7,hes mine - 𝓢𝓹𝓸𝓽𝓲𝓯𝔂 𝓛𝔂𝓻𝓲𝓬𝓼,,facebookmutti,1100000,14600,107900,82200
2,8,original sound - RyanTheLeader,,ryantheleader,2400000,12200,123700,81900
2,9,origineel geluid - Uranium bomb :3,"furry, collage, dbd, idv, monsterenergy, pokemon, fursuit, sodadog, anthro",mono_thesodadog,46,2,16,0
2,10,original sound - Movie3658,"foryou, fyp, movie, film, movies",zxhzxpxg7px,99400,160,12700,200
2,11,u better f me like u mean it - 𝖗𝖏 ☆,,leanortizz,61900,280,6530,294
2,12,Love You So - The King Khan & BBQ Show,,chypdeplo1,3300000,58600,645400,88200
2,13,Bongos (feat. Megan Thee Stallion) - Cardi B,"@sophieraiin, @summerxiriss",theaishahsofey,255700,989,49600,1831
2,14,original sound - Wonky Donkey,,_wonky_donkey_,246300,6767,24900,23800
2,15,Titanic flute fail - Funny/Awesome Vids,,gomeznotselena,11300000,140200,869000,856900
2,16,original sound - Katelyn Ernst,"@motelrocks, outfit, jeans",katelynernst4,640800,973,62700,1337
2,17,original sound - - 𝓇𝒾𝓇𝒾 ☆,"zpt, zepetoy2k, y2kzepeto, zepetofyp, zepetofyp%E3%82%B7, like, comment, share, fyp, fyp%E3%82%B7, viral, viralvideo, y2k, foryou",.serenity76,47,4,11,2
2,18,original sound - Breckie Hill,@henry_hockey777,breckiehill,214700,1167,20700,695
