batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,suono originale - Paolo Jackson,,moontellthat,1400000,8981,88900,25800
1,1,Water - Tyla,"@jentzenramirez, fyp, dance, viral, waterdancechallenge",ellianawalmsley,122300,533,5331,172
1,2,Ty for using my sound - 🖤. i post edit & videos,"fyp, 05",daniela_estefaniaa,84900,2943,7062,81
1,3,original sound - Joe Mele,,mmmjoemele,4400000,20400,283900,5743
1,4,som original - elecemaximo22,"fyp, paravoce",samu.holzhacker,151100,346,11000,661
1,5,original sound - Tyler Warwick,,user045687387,2,0,0,0
2,0,Anita Max Wynn (Jersey Club) - Fazobeats,"fyp, uni, bball, ubc, fyp%E3%82%B7",brianwallack,55500,210,3747,352
2,1,original sound - Lucas and Marcus,,dobretwins,154800,821,11900,251
2,2,Bongos (feat. Megan Thee Stallion) - Cardi B,,theneelajolenee,157900,6143,19000,9286
2,3,original sound - $,freecomedy,the_mannii,13600,108,1331,239
2,4,original sound - Kriss&Esme,"getreadywithme, gym, gymgrwm, grwmroutine, lululemon, grwmmakeup",krissleos,127300,593,9689,155
2,5,Bongos (feat. Megan Thee Stallion) - Cardi B,"@kennabeann14, us, music, fyp, viral, bongos",skyyjade,130800,1802,13500,195
2,6,original sound - nerfdis,,stupid_brunette3,61,3,6,0
2,7,original sound - Fabio&Ben,fabioandben,fabioandben,5600000,27800,436900,69200
2,8,Cha Cha by Zeddy Will - zeddy not will 🤠,,asher.lara,70400,898,8169,210
2,9,original sound - KEEMOKAZI,"unboxmagicalmoments, minisoblindboxcarnival, minisoblindbox, @minisoofficial_, @minisounitedstates",keemokazi,634300,1648,35100,1016
2,10,Ick - Alt Ending - Lay Bankz,"@nevstudioofficial, @vitalydesign",arshia_._bk,765400,18900,82200,12300
2,11,original sound - Anthony,"fyp, couple, couplegoals, toxic, anthonyvargas, bellaretamosa",imanthonyvargas,449000,1103,37900,3629
2,12,original sound - Unethical LifeHacks,"candaceowens, candacereacts, relationshipadvice, modernwomen, modernrelationships",onlythoks,574700,1254,29200,1597
2,13,original sound - Kriss&Esme,"@idk..sophiaaa, @aggayucita, makeuproutine, aggayucita, recreatingmakeuplooks, grwm, makeuproutinechallenge, makeuptutorial",krissleos,69800,629,8131,118
2,14,Juju on That Beat (TZ Anthem) [Challenge Version] - Zay Hilfigerrr & Zayion McCall,"viral, fyp, dmv",whatsean,49200,273,6402,227
2,15,original sound - D.A.L.L.A.S. 🔥🤑💪🏾💯,"siblings, viral, fyp, fyp, viral, music",carter.mostar,115100,739,12800,2202
2,16,Sneaky Cat - Bagastara,"icebath, icequeen, ice, frozen, coldplunge, motherandson, matching, cute, fun, funny, winter, freezing",itskyajeub,1200000,5817,47900,10100
2,17,original sound - Kai,"dogsoftiktok, dogs, goldensoftiktok",goldenlifeofloki,5500000,13400,324100,166600
2,18,Fireball Challenge - 🕺🏼Hoodie fam🌏,,marr_.iia,35800,51,2100,302
2,19,original sound - ŠHÒM,"fyp, winnipeg, trending",samlacija,1600000,5525,72900,8894
2,20,original sound - LIL TROY,"fyp, mystery, gift, swagboyq",swagboyq,266400,729,16100,378
2,21,original sound - Laleh • Parenting Laughs,"momlife, parents, funnykids, momhackskits, momsoftiktok, eatinghealthy, momanddaughter, momsoftiktok, momcontent, parentinginamw",inamotherworld,326300,949,23900,1276
