batch,index,music,hashtag,author,likes,comments,shares,saves,video_id
1,0,original sound - ina,,ina.katherine,3300000,29300,214800,93000,xgwrapper-0-7324884751360314666
1,1,I Wouldnt Mind - ♱,"christiantiktok, christianhumor, christianjokes, christiancomedy, christian, christianitytiktok, godisgood, jesussaves, jesusislord",dangmattsmith,160800,2885,20800,650,-1
1,2,original sound - jeffandlaurenshow,"hack, toddlermom, toddlerlife, momhack, momhacks, lifehacks, momsover30",jeffandlaurenshow,1900000,28300,264600,116000,-1
1,3,original sound - Toyy,"sings, friends, paramore, herway, herwaychallenge, presidentdeborahalivilliams, deborahaliwilliams, floptok, flopera",toyyii_,578600,3345,69200,5007,-1
1,4,оригинальный звук - 🤍|•𝚜𝚙𝚎𝚎𝚍 𝚜𝚘𝚗𝚐𝚜•|🤍,@09.02.600,di1araa.s,421800,2020,40100,2127,-1
1,5,Originalton - xoxo gossip girl 💗,"fyp, diet, gym, weightloss, fit",pookieateacookie,6285,1237,925,315,-1
1,6,Fine line - Instrumental - Kapa Boy,"griffrule, fyp",hilmilh,1200000,6690,184700,21000,-1
1,7,sonido original - ︎,,princessameliawu,280700,4737,21300,317,-1
1,8,original sound - SML gang,"fyp, sml, smljeffy, sad, quittiktok, jeffysml",sml_gangg,3510,438,658,11,-1
1,9,original sound - backwithali,,backwithali,16300,145,2147,134,-1
2,0,Bécane - A COLORS SHOW - Yamê,"duet, colors, yame, becane, french, frenchrapper, frenchrapperwiththegap, amg, amgdesign, amgwoodshop, funny, translate, wrong, mistranslated, watch, look, laugh, customdesign",the1whocannotbenamed,7610,0,758,71,-1
2,1,orijinal ses - OLURUNA BIRAK,"ibrahimkaraca, esmafarukda%C4%9F, ke%C5%9Ffet, kuran, erkek",esma._faruk_dag76,27700,236,3131,4481,-1
2,2,Epic News - DM Production,"greenscreen, futbol, uruguay, bolivia, argentina, copaamerica, ecuador",guillefutbol_4,92900,1501,3639,173,-1
2,3,original sound - Shay Silver,"happy, hanukkah, america, festivaloflights, joyfulhanukkah, chanukahcelebration, happyhanukkah, lightandlaughter, hanukkahmiracles, warmwishes, candlelightcelebration, festivemoments, hanukkahhappiness, familytraditions, chagsameach, glowinglights, holidaycheer, latkesandlights, festivaljoy, seasonofmiracles, dreideldelight, candlesglowingbright, chanukahmagic, shinebrightly, happychanukah, lightingtheway, eightnightsofjoy, warmestwishes, hanukkahspirit, celebrationtime, spreadinglight, familytogetherness, happinessabounds, chanukahjoy, festivalglow, gleefulhanukkah, brightenthenight, festivegreetings, hanukkahsparkle, wishingyoulight, traditionalive, flickeringflames, happyholidayseason, kindlethecandles, seasonofhappiness, hanukkahwonders, glowingtraditions, brightenyourdays, peacefulhanukkah, lightheartedcelebration, festivedaysahead",shaysilver,1240,134,45,104,-1
2,4,original sound - Unbox Diaries,,unboxdiaries,37400,546,3828,759,-1
2,5,Home - Edith Whiskers,"fyp, setthetable, candle, candles, candlesoftiktok, bow, bowtrend, candlesandbows, dinnertable, dinnertabledecor, holidaydinner, holidaydinnerideas, christmasdecor",alessandrabrontsema,10300,51,3697,595,-1
2,6,original sound - Mosheh Oinounou,,mosheh,28700,1751,1158,906,-1
2,7,IT GIRL (Sped up Version) - Aliyah's Interlude,"@christylynntacos, plasticsurgeon, doctorsoftiktok, holistichealth, perfumetiktok, toxic, oatmilk, seedoils",barrettplasticsurgery,34900,396,3252,882,-1
2,8,sonido original - Verito Mach,"albertofernandez, despedida, bronca, indignacion, fantino, neura, nuncamas, casarosada, diosylapatrialodemande",pompis_2020,14600,640,1127,370,-1
2,9,suara asli - Ryosaya,"kikisaputri, kaesang, fyp, fyp%E3%82%B7",ryojaya,743400,2289,38200,5595,-1
2,10,sonido original - Nicolás Maduro,8dic,nicolasmadurom,51600,952,4477,886,-1
2,11,original sound - Disabled Magic Pass - Katie,"stitch, disneyland, disneyadult, disneyparks, disabled, spoonie, disneydaspass, wheelchairuser, intersectionality",disabledmagicpass,2329,236,180,14,-1
2,12,som original - CaioRonaldo7,"cristianoronaldo, cr7, fyp, viral, football",caioronaldo7_,80900,232,10100,1045,-1
2,13,оригинальный звук - Игорь,,musical_dream_channel,2667,41,190,341,-1
2,14,original sound - afectocoffee,"afectocoffee, coffee, coffeeaddict, barista, baristalife, baristatok, customer, coffeeshopbandung, bandung",afectocoffee,564300,3206,12000,1311,-1
2,15,sonido original - Nickvan,"padredefamilia, familyguy, padredefamiliatv, padredefamilialatino, petergriffin, latinovscastellano, doblaje, doblajemexicano, doblajeespa%C3%B1ol, capituloscompletos",nickvan029,240900,2602,29400,2502,-1
2,16,sonido original - David Arellano,"derechocivil, herencia, juicio, derechosucesorio, juiciosucesoriotestamentario, juiciosucesoriointestamentario, albacea, albaceatestamentario, albaceatestamento",davidarellanoortega,5239,211,627,610,-1
2,17,Sad piano ballad (moist / BGM)(936730) - TrickSTAR MUSIC,,mariyahholdings,7505,0,726,224,-1
2,18,som original - animaed,,animaed,119500,1439,5047,100700,-1
2,19,sonido original - Alejandro Prado,"crecimientopersonal, mindset, alejandroprado",alejandropradou,4961,137,800,861,-1
2,20,original sound - 𝘊𝘖𝘔𝘉𝘈𝘛,"modoguerra, warmode, temach, themploz",themploz,74700,348,13100,1088,-1
2,21,original sound - Joey Nguyen,"military, marines, army, navy, airforce, militarylife, veteran, money, miltarytiktok, miltok",joeyngooyen,86800,2452,3690,794,-1
2,22,sonido original - ˗ˏˋ ꒰ ♡ ꒱ ˎˊ˗,"fyp, humor, pumchulita",junnkx,1600000,6751,115000,55700,-1
2,23,original sound - Ryan Long,,ryanlongcomedy,12400,2023,1144,888,-1
2,24,Habibi (Albanian Remix) - Ricky Rich & Dardan,"millionaire, rich, bestie",lionlindaa,28200,307,2597,596,-1
2,25,original sound - Caitlin Emiko,"iwastodayyearsold, airpodhack, airpods",caitlin.emiko,742100,2954,140300,38300,-1
2,26,sonido original - Iber Reporta | Noticias,salinaspliego,iberreporta,2731,93,229,489,-1
2,27,sonido original - Los Parrilleros,"hombres, mujeres, podcast, viral",losparrilleros,92000,4037,12400,72800,-1
2,28,original sound - MDT Network,"trump, breakingnews, today, meidastouch, speaker, msnbc, cnn, foxnews, speaker, news, mccarthy",mattieunderwood1987,24300,6042,3129,2233,-1
2,29,sonido original - Dan,"fashiondrive, pegatealatiggo, concurso, 23, eugenioderbez",vuelveavivir,2681,49,121,44,-1
