batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - Mind Blowing Facts,"randomfacts, learnontiktok, factsyoudidntknow, random, facts, curiosities, satisfying, relaxing, lifesaving",mindblowingfacts16,101400,13200,12300,134200
1,1,original sound - 🤍,"draft, relatable, viralvideo, funny, copycat, 4you, tiktok, foryourpage",im2wickedbitch,431700,1648,27100,1242
1,2,original sound - ESPN,"@wendy.bri, snow, cold",espn,2000000,19800,170700,108500
1,3,Out of My League - Fitz and The Tantrums,"ilovebillieeilish, billieeilishfan, billieeilish, wlw, billie, eilish, billieeilishfans, fyp%E3%82%B7, fyp, f, hte",darinaroz,68900,488,9671,1018
1,4,original sound - Vez♱,"meme, edit, funny, viral, edit, vezify, growup, cringe",vezify,203100,1272,46100,2025
1,5,original sound - My Soul Gone,,zoynt,417800,1651,40600,1911
1,6,original sound - Banana360VR,"capcut, gtag, fyp, gorillatag, vr, beachmap, 2024",banana360_vr,25800,7694,6419,674
1,7,MOVE YO BODY - Bryansanon,,asaliraniii,17600,69,1387,79
1,8,original sound - Jack Doherty,"@mckinleyrichardson, jackdoherty",jackdoherty,41900,259,2335,57
1,9,Fluffing a Duck - Kevin MacLeod,"dprian, dance, dontgoinsane",itzoe.rp,2000000,4423,83600,9195
1,10,original sound - Liam Miller,,liammillerr,473300,11700,52800,8855
1,11,Originalton - mimi🌟,"dahood, dahood, wrd2mimi, damngirlsnap, fyp, fy, roblox, capcut",.wrd2mimi,14100,235,1582,16
2,0,original sound - God Is Great,"instarunreadwetrust, npcstarunread, fyp, inbenwetrust, inrapwetrust, makemefamous",npc.starunread,61100,11100,20000,1010
2,1,BEST OF JANUARY INSTA VMESHOFFICIAL - Vmesh,"@jungkook, @dalvaroberta6, foryou, jungkook",misscharlie_rv,115800,12400,19900,12900
2,2,Roll in Peace (feat. XXXTENTACION) - Kodak Black,"itsfine, whatever, mysoulamte",serna_anahi,100400,114,11500,217
2,3,original sound - Mixsa_mi,,mixsa_mi,423100,3300,51800,1703
2,4,DJ Rony Remix - Rony,,yammeislitt,2001,17,208,9
2,5,original sound - cybercleo™,"fyp%E3%82%B7, fyp, treabd, xybca, tiktok, blowup, realatable, viral, capcut, viral",adryisreal,231800,3149,15600,568
2,6,original sound - Kuel_TheCreator,fyp,nidalspams,49500,391,4150,230
2,7,original sound - yeguinis,"twitch, povs, clip, alondrissa, rainelissss, parati, viral, fyp, trend, railo",yeguinis,212600,372,18700,960
2,8,original sound - FEELS,"foodie, mukbang, fyp, foryourpage, eatingshow, queenbeast, queenbeastmukbang, wingstop, funny",queenbeastofficial,27700,159,2920,239
