batch,index,music,hashtag,author,likes,comments,shares,saves
1,4,original sound - Vez♱,"meme, edit, funny, viral, edit, vezify, growup, cringe",vezify,203100,1272,46100,2025
2,1,BEST OF JANUARY INSTA VMESHOFFICIAL - Vmesh,"@jungkook, @dalvaroberta6, foryou, jungkook",misscharlie_rv,115800,12400,19900,12900
2,5,original sound - cybercleo™,"fyp%E3%82%B7, fyp, treabd, xybca, tiktok, blowup, realatable, viral, capcut, viral",adryisreal,231800,3149,15600,568
2,7,original sound - yeguinis,"twitch, povs, clip, alondrissa, rainelissss, parati, viral, fyp, trend, railo",yeguinis,212600,372,18700,960
2,12,Lemonade Internet Money - joy:),"foryou, fyp",officialdieter,275800,1623,41100,937
2,26,original sound - lar☠︎,"billkaulitz, billkaulitztokiohotel, billkaulitzedit, mvpworldd, tokiohotel, billkaulitzedits, fyp, foryou, videostar, vsp, th, snow",mvpworldd,92600,864,30500,787
3,4,original sound - Saralee🤎,"@elklookeyewear, foryou, fyp, foryoupage, foryourpage, fyp%E3%82%B7, lovinleee",lovinleee,45400,89,3435,77
3,7,original sound - yrkitc,"simoneriksson, omarrudberg, princewilhelm, edvinryding, youngroyals, fyp, fyp%E3%82%B7, viral, xbcyza",yrkitc,198400,576,24900,1258
3,10,A Ram Sam Sam - CanzoniPerBimbi,"famous, fyp, foryou, foryoupage, trending, makemefamous, inbenwetrust, viral",benwentviral,286100,22000,62800,1804
3,13,J CHRIST - Lil Nas X,"@kennabeann14, lilnas, us, music, fyp, viral",nevaaadaa,38100,588,3180,249
3,16,orijinal ses - caner,"@salishmattersx, fyp, viral, salishmatter, fyppppppppppppppppppppppp, viralvideo, tiktok, dance, befamous, fyp, salishmatter, nidalwonder, popular, viral, realsalishaccount, bestfriends, duo, everywhereigo, trend, trending",nidalspams,427500,3354,33200,814
3,17,orijinal ses - Aitemir Akimov,"relatable, hellokittygirl, foryou, real, foryouuu, 08, sanrio, fy, fyp%E3%82%B7",og.caeli,38400,517,3902,169
3,21,son original - Wissers.MM2,"murdermystery2, roblox, mm2, mm2funny, viral, robloxmurdermystery2, robloxmm2",wissers.mm2,21600,368,1995,73
3,25,Imma Scope The Scenery Out Meatball Casa Di - CasaDi,"fyp, foryoupage, trending, xyzbca, viral, blowthisup, fyp%E3%82%B7, nyc, relatable",rayneverlackinnnn,32800,21900,3291,305
4,1,orijinal ses - caner,"fyp, foryouu, foryou, kennilove03",kennilove03,33500,131,2323,44
4,4,original sound - Hali444,"fyp%E3%82%B7, viral, nilesneumann",dat.kid_niles,94200,372,8635,319
4,7,Lemme get that - Frizz🗽.,"fyp, dance, viral, foryou",urfavfil0_,63900,142,5599,390
4,8,original sound - Ahoufe,"ahoufe_, trending, viral, trend, foryou, fyp",dada_ahoufe_,32600,1350,5330,1545
4,16,original sound - stylevintee,"thenun, foryou",thenun_valak,2100000,31600,220400,80900
4,17,Flex Down - colecol3,"food, fyp%E3%82%B7, fyp, fypage, viral, shoes, idk",_sam_egan_,89400,610,6831,635
4,19,original sound - [⭐️]HerCosmo,"fyp, viral, robloxfyp, dahood, dahoodfyp, dahoodroblox, roblox, shadowbanned, viralvideo, couple, @tutti8536",rezyvx,16300,263,2384,78
4,23,original sound - Allan,"lunabat96, funny, hickeys, joke, couples, cute, alt, enby, nb, nblnb, nblw, snakebites, tiktok, trending, viral, fyp, foryou, foryoupage, fyp%E3%82%B7",lunabat96,141300,1579,8850,3541
4,26,A Day in My Life - Soft boy,foryou,comebaby789,8373,51,770,77
5,5,original sound - Promoter Savage,"xyzcba, foryoupage, fyppppppppppppppppppppppp, notjustshane, viral, lightskinboy, makemefamous, fyp",notjustshane,43600,523,6578,319
5,6,original sound - xplrsvs (johnnies version),"jakewebber, fyp, foryou, jakewebber, foryoupage, jakewebberedit",xplrsvs,30400,172,5537,456
5,9,PAINT THE TOWN WET - The Tortured Pussy Department,"floptok, floptok%F0%9F%98%8D%F0%9F%98%8D%F0%9F%98%AD%F0%9F%98%8C%F0%9F%A4%9E%F0%9F%92%85%F0%9F%92%85, floptropicaflops, floptropican, floptropicagovernment, floptropicacitizen, floptropica%F0%9F%92%85%F0%9F%8F%BC%F0%9F%92%85%F0%9F%8F%BC%F0%9F%92%85%F0%9F%8F%BC, badussywar, fyp, fyp%E3%83%84, foryourpage, foruyou, forupage, viralforyou, vira%C5%82, 4you, 4upage, 4youpage, 4yourpage, viral",aid3nw3st,199400,2943,31000,7795
5,11,original sound - vrewls,"kaicenat, viral",vrewls,24000,117,2113,193
5,16,Wedding March - Felix J L Mendelssohn Bartholdy and Helmuth Brandenburg,"@fatchinagirl, dh, dahood, dahoodmontage, dhmontage, dhm, gun, aim, roblox, dahoodroblox, robloxdahood, dhroblox, robloxgame, fyp, foryou, viral, robloxfyp, xyzbca, tipsfor3008, dh, wedding",zaiddwins,12900,569,1756,105
5,17,I Have No Enemies - ★DGK132105,"roblox, fyp, trending, foryou, murdermystery2, mm2",focuswrldd,12200,448,2026,157
5,20,Wait a Damn Minute - The Meme Stream,"foryou, fyppppppppppppppppppppppp, viral, foryouuuuu, fyp, fyp%E3%82%B7",pinknationprincess1,24700,120,844,215
5,22,original sound - Masons View,"fyp, viral, abcxyz, zxycba, ttdance",calebmalek_,202700,426,12400,266
