batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - KING🦅MISSIØN🥷🕸️,,yammeislitt,653,20,84,1
1,1,She was a fairy - Sierra (Nirvanas version),"@jpbruck, funnyvideos, funny, funnymemes, shewasafairy, fyp",max.rae.music,162100,330,12200,1342
1,2,original sound - spo6kzie,"@.jaylaaaaa_, rizz, viral, fyp, foryoupage, foryou",luvabxbyy.a,1500000,3353,129300,5262
1,3,original sound - Scavarn,"roblox, dahood, fyp, funnymoments, fortnite",crunchyiconic,32700,374,4354,37
1,4,original sound - Manii ⭐️,"foryoupage, fypthistiktok, 4upage, 4you, icywicy, luvv4iys, icywicyedit, getthisviral, getmylikesbackup",2famous.manii,2641,18,202,11
1,5,original sound - ɪᴛꜱᴊᴜꜱᴛʀᴏᴅʀɪᴄᴋ,"fyp, 19yearsyoung, trans, humor",genovesem,196600,636,5916,426
1,6,Diamondz n Roses - VaporGod,,trevor_wagner_,193700,955,9627,1933
1,7,original sound - cam.cc,theonlyfamousbrian,onlyfamousbrian,80200,1642,14600,1870
1,8,Escapism. Sped up (Official) - RAYE & 070 Shake,@user4392743561761,analisseworld,125400,276,10100,418
1,9,som original - caio,,vanilsonnevess,4000000,49100,447700,127900
2,0,original sound - Ranvision 軟趴皮,"obv1harry, mm2, roblox, funny, murdermystery2, comedy",obv1harry,62900,476,10100,346
2,1,MOVE YO BODY - Bryansanon,"fyp, pourtoi",cyber.ghetto,12800,109,1785,80
2,2,original sound - Habibib,"fyp, valentinesday, meme",wetsalami69,222500,562,11400,1479
2,3,som original - Fabrício Tarden,"fyp, roblox, robloxfyp, scary, funny, brookhaven, kawaii, brookhavenroblox",disgustingwhitecat,389300,4604,50400,5049
2,4,original sound - spo6kzie,"philly, fyp, jujuwalk",julian.sanderss,594400,1251,39200,2948
2,5,original sound - TrypzFN,"fortnite, fyp, gaming, meme",trypzfn,297300,5905,55200,11400
2,6,My Rich Boo's Baby Daddy - Jersey Club Remix - SVNTI,"keffect, 430, macdeeeez, fyp",jwee._,803300,2742,54900,10200
2,7,I Wouldnt Mind - ♱,,yammeislitt,3731,31,293,12
2,8,sonido original - ｡♡*✧(𝓬𝓵𝓸𝓊𝓭 𝓎 𝓭𝓮𝓶)✧*♡｡,"yorkiebun, robloxx, roblox, robloxedit, robloxdance, robloxttdance, ttd3, CapCut, tiktok, Viral, editviral, robloxviral, robloxgames, robloxdances, couple, robloxcouple, femboy, foryou, parati, robloxparati, fyp, fyp%E3%82%B7, fyp%E3%82%B7%E3%82%9Aviral, fypage",yorkiebun,5026,173,1267,110
2,9,sonido original - VL MUSIC,"@lr.gae1, felldownthestairs",exclusive._eddie2,256600,732,19700,3180
2,10,sonido original - ✨👑,"fyp, gc",luvvnicole1122,442300,3646,46600,8001
2,11,Fluffing a Duck - Kevin MacLeod,,gracebowow,318100,2323,19400,2522
2,12,original sound - SKIPPERS,,skippers.yt,172400,4071,19900,6314
2,13,original sound - sounds..,,_.o1613,527200,4096,45100,2232
2,14,nhạc nền - Cutebaby.funny 👀,,funny.babay.14,39100,107,5056,1071
2,15,healjnga - 💓,"gekyume, xxxtentacion, llj, jahsehonfroy, jahseh, fyp, foryoupage",longlivejaxseh,6642,22,616,10
2,16,original sound - every0nesplaylist,,faithsbathroom,414100,644,12600,569
2,17,the color violet - ★,,5yaff,326900,226,30700,1311
2,18,meme sound - 🔥Jaytzybreezy🔥,"dahood, dh, xyzbca, fanlust, viral, blowup, trending, gametok, foryoupage, roblox",fanlust,7549,376,921,52
2,19,CZERWONE KORALE ale to DRILL - młody klakson,,yammeislitt,29400,229,2650,296
2,20,original sound - 𝕭𝖚𝖋𝖋𝖔𝖔𝖓,"fyp, keyboard, satisfying, j",lil_2jr,19900,594,3453,841
2,21,orijinal ses - caner,"wlw, wlwcouple",dumplyly,61800,472,5833,956
2,22,bless. - suritasarapist69,"jackdoherty, real",jackdoherty.com,3399,86,354,9
2,23,GTAmapiano - Jaydon Lewis,@fynnaves,ryxnhxffmxnn,384000,770,30300,1081
2,24,original sound - Caleb Finn,,lelasohna,65099,206,11100,313
2,25,original sound - 𝖠𝖫𝖨 🤍,"fyp, edit, xyzbca, blowup, viral, foryoupage",aegunez,7158,50,841,63
2,26,original sound - EX7STENCE™,,jorge_arritola,6123,14,218,12
2,27,original sound - liviya 💕,"sashatrus0va, alexandratrusova, sashatrusova, figureskating, figureskatingedit",sashatrus0va,62400,102,11100,451
3,0,original sound - ❥ dani,"billieeilish, billieeilish, billieeilishedit, billieeilishedits, fyp, fy, xy, vsp, billieeilishfanpage, billieeilishh",star_billi.e,80500,703,26300,821
3,1,original sound - s.peedsongzz.,"fyp, fyp%E3%82%B7, dahood, dahoodian, dahoodbikes, dhfyp, dhfyproblox, robloxfyp",notktrna,130100,507,15700,459
3,2,original sound - Masons View,"fyp, viral, dmv",luhhmatt_,316400,2018,33700,1135
3,3,original sound - 𝐉𝐈𝐋𝐋💋 (nelly's version),"TOMKAULITZ, fyp, foryoupage, foryou, fy, viral, goviral, plsdontflop, dontflop, cckltz, tom, tomkaulitz, tokiohotel, edit, parati, xzybca",cckltz,81500,427,21800,702
3,4,FREE G SDOT GO - szn hound 🐺,,5ddie,229500,794,12300,353
3,5,original sound - Goodlin Siblings,"dogsoftiktok, rescuedogs, fosterdogs",thegoodhype,3000000,10800,138900,36000
3,6,original sound - 𝒯𝒾𝓃𝒶,fyp%E3%82%B7,itstina_042,3753,27,337,9
3,7,original sound - Barstool Sports,"@shay.gannon, relationship, breakup, outro, fy, fyp, bf, longdistancerelationship, longdistance",_kateesme_,9102,22,410,79
