batch,index,music,hashtag,author,likes,comments,shares,saves
1,1,She was a fairy - Sierra (Nirvanas version),"@jpbruck, funnyvideos, funny, funnymemes, shewasafairy, fyp",max.rae.music,162100,330,12200,1342
1,5,original sound - ɪᴛꜱᴊᴜꜱᴛʀᴏᴅʀɪᴄᴋ,"fyp, 19yearsyoung, trans, humor",genovesem,196600,636,5916,426
1,8,Escapism. Sped up (Official) - RAYE & 070 Shake,@user4392743561761,analisseworld,125400,276,10100,418
2,0,original sound - Ranvision 軟趴皮,"obv1harry, mm2, roblox, funny, murdermystery2, comedy",obv1harry,62900,476,10100,346
2,2,original sound - Habibib,"fyp, valentinesday, meme",wetsalami69,222500,562,11400,1479
2,3,som original - Fabrício Tarden,"fyp, roblox, robloxfyp, scary, funny, brookhaven, kawaii, brookhavenroblox",disgustingwhitecat,389300,4604,50400,5049
2,4,original sound - spo6kzie,"philly, fyp, jujuwalk",julian.sanderss,594400,1251,39200,2948
2,5,original sound - TrypzFN,"fortnite, fyp, gaming, meme",trypzfn,297300,5905,55200,11400
2,6,My Rich Boo's Baby Daddy - Jersey Club Remix - SVNTI,"keffect, 430, macdeeeez, fyp",jwee._,803300,2742,54900,10200
2,12,original sound - SKIPPERS,,skippers.yt,172400,4071,19900,6314
2,13,original sound - sounds..,,_.o1613,527200,4096,45100,2232
2,14,nhạc nền - Cutebaby.funny 👀,,funny.babay.14,39100,107,5056,1071
2,15,healjnga - 💓,"gekyume, xxxtentacion, llj, jahsehonfroy, jahseh, fyp, foryoupage",longlivejaxseh,6641,22,616,10
2,19,CZERWONE KORALE ale to DRILL - młody klakson,,yammeislitt,29400,229,2650,296
2,22,bless. - suritasarapist69,"jackdoherty, real",jackdoherty.com,3398,86,354,9
2,23,GTAmapiano - Jaydon Lewis,@fynnaves,ryxnhxffmxnn,384000,770,30300,1081
2,25,original sound - 𝖠𝖫𝖨 🤍,"fyp, edit, xyzbca, blowup, viral, foryoupage",aegunez,7157,50,841,63
3,3,original sound - 𝐉𝐈𝐋𝐋💋 (nelly's version),"TOMKAULITZ, fyp, foryoupage, foryou, fy, viral, goviral, plsdontflop, dontflop, cckltz, tom, tomkaulitz, tokiohotel, edit, parati, xzybca",cckltz,81500,427,21800,702
3,4,FREE G SDOT GO - szn hound 🐺,,5ddie,229500,794,12300,353
3,10,original sound - wock,"foryoupageofficiall, fyp%E3%83%84, fypppppppppppppp, viralvideo, foryourpage, fyp%E3%83%84",edwardw44,708,1565,87,1
3,11,A Ram Sam Sam - CanzoniPerBimbi,"fyp, foryou, viral, axl%F0%9F%83%8F",weirdyoff,4400000,38100,452000,142200
3,13,original sound - seleena,theonlyfamousbrian,onlyfamousbrian,31200,313,4655,453
3,14,original sound - Jay,"@yadipr_5, fyp, pourtoi, explorepage, basketballplayer, viral, florida, fyp%E3%82%B7, dayone",yohan_lbt,1470,17,130,5
3,17,original sound - doyoucare😐,"scream, ghostface, screammovie, scarymovie, horrormovie, horror, horrortok, killer, slasher, foryoupage, foryou, fyp, viral, trending, funny, xybca, pov",thehorrorslasher,8126,90,1814,50
3,19,original sound - Steve,"foryourpage, relatable, blowthisup, viralvideo, marsheluv",marsheluv,17900,470,2528,283
3,20,MOBBIN brill and spence verse - Jabril Evans,"fyp, fyp%E3%82%B7, xybca, viral, 09",valxri.x,276500,2414,14100,1652
3,21,nhạc nền - Fam.josireed,"game, family, troll, viralvideo, food, cooking, foryou, funny, fyp, challenge",fam.josireed,734300,5314,85100,6437
3,25,original sound - mae!,"fyp, yanderesimulator, ayano, ryoba, freeclip, clip, yanderechan",rainsclip,5832,101,914,374
3,26,Use my sound - jojo,shorts,dre_da_dancer,14200,31,840,12
4,5,original sound - sharko,,mommyyjoshuaa,15100,874,715,25
4,9,idontwannafallinlove original video - McPlayGT,"mcplaygt, music, newmusic, jerseyclub, jersey, sad, freestyle, carfreestyle, fyp, foryou, foryoupage, trend, trending, viral, asian, nyc, newyork, newyorkcity, new, newtrend, newchallenge, zeddywill",mcplaygt,12400,629,1976,48
4,10,som original - .,,kirkiimad,309800,8775,18300,6488
4,13,original sound - Amahree,theonlyfamousbrian,onlyfamousbrian,3000000,8852,270200,20500
4,14,original sound - reg,"roblox, fyp, foryou, murdermystery2, mm2, mm2roblox, realatable",regthecreator,33200,1807,3457,138
4,15,original sound - Weredoomed2022🤭,"heartlessyvnggg, fyp, filipino, hawaiian",.xailee,55400,487,3668,46
4,17,original sound - Tray,,haleyybaylee,2500000,3843,201500,11800
4,20,original sound - old sounds,"charlidamelio, lopezbrothers, taylorholder, oldsounds81, oldtrends, remember, fyppp",old.sounds81,20600,17,1208,42
4,21,original sound - 7AJ🎧,"@_user36500, fyp, batman, raven, rizzlads, xyzbca",usersacc_,123000,881,9719,879
4,23,KBLAST BACK IT UP - Blast2.0,"fyp, shadowbanditshay, viral, blowthisup, trending, xybca, relatable, fyp%E3%82%B7",shadowbanditshay2.0,52500,6098,10700,1619
4,25,original sound - Masons View,,uhhdurkk,21000,80,1392,88
4,28,enesify _ Out of My League - ig: enesfyy,@martin.svni,lunabdrt,209500,916,18900,2417
4,29,bus - Denis,"foryoupage, blowthisup, ilovegod, realasf, fyp, viral",ilovepineappl3,133000,835,14700,876
5,0,original sound - Luminance Medical,"fy, foryou, fypage, foryoupage, you, fyp%E3%82%B7, fyp%E3%82%B7%E3%82%9Aviral, popular, drama, tiktokmademebuyit, xybca, redlight, skincareroutine, skincare, comedy, funny, eyebags, brighteyes",luminancered,13900,226,1897,69
5,1,original sound - ibs,"fypp, nottiosama, edit, nydrill, quality, drill, bronxdrill, trending, sturdy, viral, 4k, foryoupage, nottirip, ddosama, sugarhillddot, sugarhillkeem",ibsfn,12400,234,2749,129
5,3,nhạc nền - Cutebaby.funny 👀,,funny.babay.14,23000,247,1182,1046
5,4,original sound - givesoulmusicatry,"@mcdonalds, fyp, fyp%E3%82%B7, gochapo, viral, mcdonalds, funny, comedy, trending, fastfood",.gochapo,337200,4707,35400,2547
5,5,original sound - Onyx^^,"relatable, fyp%E3%82%B7, viral, creamernation, ngh, joehawleympreg",be0iledupin_5,75400,1402,12500,647
5,13,original sound - Chris Matt Nick,"sturniolotriplets, chris, matt, nick, fyb",sturniolotriplets448,842400,1656,77800,6692
5,14,suono originale - spidey,"fyp%E3%82%B7, fyp%E3%82%B7%E3%82%9Aviral, iamwahid_",dreamyabdul,9448,6418,1651,424
5,15,original sound - Nidal & Salish 🇺🇸,"nidalwonder, jordanmatter, salishnidal, jordanmatter, bestfriend, salishmatter",nidalandnalish,5681,27,461,26
