batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,lowe.dat - suritasarapist69,"@pkbsbl24, fyp, therealcoolspot, glitch, newtrend, viral, trending, glitchoverlord, glitchapocalypse, new",therealcoolspot,398000,2421,31600,1333
1,8,original sound - 𝕭𝖚𝖋𝖋𝖔𝖔𝖓,"keyboardtrend, fyp, viral, amazonfind",ash.faves,221600,6996,31000,9347
2,6,Let It Snow! Let It Snow! Let It Snow! - Dean Martin,"nailtech, dmv, dmvnailtech, dmvnails, fyp, christmasnails, foryoupage, foryou, parati, nails, besties, mexicantiktok, letitsnow",as.gonzalezz,524000,3291,30300,8154
2,7,original sound - Reletableflop,"fyp, noflop, schoolmeme, real, flopera, dontletthisflop, floptok, floptokera%F0%9F%A4%AA%F0%9F%A4%AA%F0%9F%A5%B0%F0%9F%A5%B0%F0%9F%98%8D%F0%9F%98%8D, floptok%F0%9F%98%8D%F0%9F%98%8D%F0%9F%98%AD%F0%9F%98%8C%F0%9F%A4%9E%F0%9F%92%85%F0%9F%92%85, floptoksupremacy, viral, blowthisup, iminmyflopera, roblox, tagurbestfriend",flopcentral_2,171700,1142,20700,977
2,8,original sound - preppyannafaye,"fyp, foryou, preppy, annough, trending, annafayeslays, fyp%E3%82%B7, xyzbca, viral, fake, joke, satire",preppyannafaye,40700,236,4898,73
2,9,Sorry it plays twice - Roblox,"tiktok, foryou, paintpens",trippydraws,57900,94,3356,30
2,12,Head First Then Eyes - aeB7,"dmv, viral, fyp",luhhmatt_,96800,907,10900,450
2,13,original sound - Debbie Valdez,"fyp, fyp%E3%82%B7, couple, couplecomedy, couple, foryoupage, relationship, couplegoals, viral, couplelove, trending, xybca, funny, couplestiktok, relatable, foryou, boyfriend",debbiekval,10100,82,1252,37
2,17,original sound - Logan! 🤭,"foryou, roblox, robloxedit, viral, mm2, mm2roblox, mm2fyp, fyp",cclqgan,78700,1007,10800,565
2,27,Lemonade Internet Money - joy:),"foryou, fyp, 2020ahvid",officialdieter,143000,477,14800,1326
