batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,оригинальный звук - #Кар★линкауу💥,,princessameliawu,350700,6057,29500,616
1,1,original sound - Rema,"ilovekids, fyp, givemekids, foryoupage, viralvideo, viralkids, prank, siblings",boyremiii,71100,892,8402,2053
1,2,good days - ˚ ༘♡ ⋆｡˚,"alwaysonmymind, iceskating, figureskating, viral, fyp",skatingscating,2670,5,125,5
1,3,original sound - 🇹🇷,"fyp, viral, relatable",pnczayski,427200,1942,35000,6921
1,4,original sound - amber unraveled,,sabinaakielbasa,970500,1889,57400,10000
1,5,original sound - Doctor Smiles,"fyp, heartwarming, wholesome, nurse",doctorsmilez_,216600,973,39600,563
1,6,bunyi asal - DarkNIGHT - DarkNIGHT🍉,"@daniela_estefaniaa, fyp, foryou, rubikscube, fy, xyzbca",daniela_estefaniaa,8324,37,550,2
1,7,original sound - 🎧audios,"hellokitty, hellokittypants, pink, fyp%E3%82%B7%E3%82%9Aviral, pinkthoughts, her, foryoupage, matching, mygirl, foryou",shetrippin,3729,401,852,334
1,8,original sound - 🧸ྀིྀི,,hollielouisekk,62900,461,8680,467
1,9,original sound - kyletolkien23,"@nevstudioofficial, nevstudio",arshia_._bk,5120,231,729,106
1,10,ken carson bass boosted - miguel,"fyp, android, iphone",playboyjuju,358200,6143,44800,16600
1,11,original sound - Kyle Sorensen,"relatable, test, fyp%E3%82%B7, fyp, comedy, skit, viral, school",kjs_skits,47200,269,3864,202
2,0,original sound - Noooooodle,"salishmatter, jordanmatter, nidalwondereditstt, salishandjordan, emotional, father, fathersday, fatherdaughter",nidalwonderedits,9329,68,1082,77
2,1,original sound - Adro💰©️,"fyp, nappyheadaleexxx, relatable, school, relatable",nappyheadaleexxx,183600,1107,27200,1637
2,2,Bad Feeling (Oompa Loompa) - Jagwar Twin,"viral, love, foryoupage, fyp%E3%82%B7, tiktoker, acting, music, song, foryou, movie, film, actors, actress, director, fyp, director, hollywood, bollywood, art, artist, downsyndrome",brookesaviss,336800,4334,17400,3467
2,3,original sound - bopafn,"fyp, viral, fortnite",bopafn,57800,1164,7809,2528
2,4,original sound - Kizazi_tv,,kizazitv,902300,11100,101000,80400
2,5,Monkeys Spinning Monkeys - Kevin MacLeod & Kevin The Monkey,,infamous_wu13,53500,364,4595,58
2,6,original sound - Lana Rae 💗 • Roblox Girl,,lanaslifeee,96000,2392,16000,737
2,7,orijinal ses - caner,,princessameliawu,662900,10800,59900,895
2,8,orijinal ses - Deniz,"fup%E3%82%B7, turkiye%F0%9F%87%B9%F0%9F%87%B7",barkincevik__,7717,81,1212,111
2,9,all da baddies are under this sound - renny,,jiah.khann,14700,35,790,17
2,10,original sound - ARI 🧜🏾‍♀️,"fyp, foryou, foryourpage",dangmattsmith,11900,130,1554,61
2,11,God's Plan (Instrumental) - Abtmelody,"education, learning, studentlife, studyhacks, studytips",skoolhaxx,6067,11,1956,103
2,12,original sound - ✰,"otwmk, fyp, viral",odanelisshusband,26800,52,2233,71
2,13,Džanum - aysheeXD Remix - KlaizeeXD,"softwareengineer, csmajor, auditorium, professor, university, class, classmate",codewithclaude,192600,188,14800,307
2,14,Oh No No No Laugh - Sound Effect,"babyinwomb, activefetus, itsaboy, roadto5k, fyp, laborpreparation, navywife, blackmomconfidence, blackmomcontentcreator, howtogoviral, pushingpositions, millerfamilyx4, babybump, newborn, baby, babiesoftiktok, hegotmad, myunborn, loved, blackfamily",igobydessy_,68100,659,2321,909
2,15,son original - •ԃวυвєα´кηку•,"duet, realclintianoo",leek.wright,182300,5332,30700,2995
2,16,Good Side - Crash Adams,,lovealwayspiper,49300,169,1280,57
2,17,Let It Happen by Tame Impala - randomvideos4044,"fyp, foryou, foryoupage, breakingbad",gendy_46,634000,6007,47500,13800
