batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - ItsAndrewz🥴,,itsandrewz,621400,5482,80100,12700
1,1,original sound - wiliam_ph,,wiliam_ph1,25300,194,2423,2243
1,2,original sound - ItzKbella,"lol, ceftokes, blinkybandit, blinkers, zootyville, ifyouaintblinkingyousinking, cef47, penjamin",ceftokes47,70900,313,5721,413
1,3,original sound - cadaea,,cadaea,117200,1829,15000,1155
1,4,Low - Flo Rida,gladyouasked,paulinamisha,1800000,37500,123000,102300
1,5,Left - Summer Version - iamB4,,jadelidamelio,344400,1577,35000,702
1,6,الصوت الأصلي - MR BLUE,"stitch, stitchlover, halloween, christmas, tiktok, foryou, explore, collectionstitch, stitchstuff, liloandstitch, stitchandangel, ohana, disney, edits, artdigital, edit",mr.blue.heart,63500,12800,6016,181
1,7,original sound - Cool Grandpa👴🏼,"grandpa, joke, fypisbroken, comedy, jokes, relatable, fyp%E3%82%B7%E3%82%9Aviral, funny, breakup",theverycoolgrandpa,2600000,23300,244500,29200
1,8,original sound - The Relationship Hub,"viral, couple, fyp",isaacandandrea9,184900,712,10400,1085
1,9,original sound - Funny facts,"facts, curiosity, randomfacts, learnontiktok, factsyoudidntknow, viral",funnyfactsvn,497000,72800,61900,431800
2,0,original sound - IDK😫,"fyp%E3%82%B7, icespicemunch, icespice, edits, aftereffects",frennazone,339600,1675,57700,2606
2,1,kiss trend - lotte,"lesbiansoftiktok, lgbt, couplegoals, spiderman, %F0%9F%8C%88",ortegxnnn_,221900,2703,31700,6836
2,2,original sound - Grace Rayne,,itsgracexrayne,5697,42,557,22
2,3,original sound - spo6kzie,"fyp, princessamelia, nevada",abbysaltzmaniscute,127500,1790,23300,349
2,4,original sound - DL GANG,"dlgang, foryou",dl_gang,452800,2676,35500,6295
2,5,original sound - 𝑛𝑒̀𝑙𝑙𝑎ଓ,"twins, mixup",starandshontwins,185100,652,6250,1023
2,6,Candyman (Ultimix Mixshow) - Christina Aguilera,,lexibrookerivera,1900000,14200,189500,18000
2,7,DadSocial - Mason Smith,"kidsgrowingup, emotional, fyp",annatwinsies,11200,117,1073,39
