batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - REEKON Tools,,reekontools,641300,3864,105300,77600
1,1,Big Ole Facts - Jose Guapo,benetnicole,_b.enet,376600,1285,36200,1216
1,2,Out of My League - Fitz and The Tantrums,joranpa,jorgepatino8,501900,4209,46900,15200
1,3,She was a fairy - Sierra (Nirvanas version),"@jpbruck, funnyvideos, funny, funnymemes, shewasafairy, fyp",max.rae.music,170700,357,13100,1359
1,4,original sound - Kylie Cantrall,descendants4,kyliecantrall,1500000,5334,70100,2197
1,5,Free Mind - Tems,fyp,sailorkinsley,4099999,8642,163500,18900
1,6,UKRAINE - Jay Hound & Jay5ive & SweepersENT,"fyp, viral, pov, marunyc_",marunyc_,888500,4330,117600,4457
1,7,original sound - Bex 🧚🏻‍♀️,@prettytheycentral,__bexbeauty__,3800000,8551,404500,10700
1,8,som original - Multi Digital,"trackandfield, athletics, fyp",nutella_s2s2,13500,18,456,126
1,9,original sound - Hungry Traveler,"pregnantlife, babymama, pregnanttiktok, pregnant%F0%9F%A4%B0, pregnantmama, chickennuggets, chicken, baby, foodbaby",wandering_foodie,338100,1303,17400,8606
2,0,original sound - 🕸️🕷️,"flightattendant, flightcrew, stewardess, flightattendantlife, airhostess, airplanetiktok, planedoor, boeing737, cabincrew, fyp",mrsmiva,106900,654,3177,87
2,1,original sound - Nathan Kessel,"@ww114322gax, fyp, foryou",kessel_nathan_official,291600,1659,31200,4546
2,2,original sound - 703,"fyp, funny, relatable",703.naz,1500000,3929,192300,18600
2,3,Originalton - dxstxn.18,,meme_hub2212,203500,2244,32500,6374
2,4,original sound - what a/the,"fans, tiktok, 1millionaudition, meme, foryou, funny, fun, comady, funnymoments, fyp, flyp, foryoupage, justforfun, fyp%E3%82%B7, tiktok, onemillionaudition, police, cop, viralvideo, virall, what_a_the",what_a_the,268500,789,16700,3155
2,5,original sound - surfing2,"yooatom, yooatom11we, powerstation, indiegogo, yooatomxxd, summer, watersports, outdoors, fyp, fyp%E3%82%B7, viral",surfing225,7933,37,527,260
2,6,original sound - Avery Cyrus,,averycyrus,2100000,5846,93300,5673
2,7,original sound - The Relationship Hub,"youneedahug, couple, couplestrend, heightdifference, bfandgf",ashlyn_bischoff,767500,1365,32700,6775
2,8,original sound - Volleyball World,"1, volleyball, updown",volleyball.world.31,178400,837,23200,724
2,9,original sound - Him09,"fyp, nfl",emrylamberson6,2200000,6099,225100,14800
