batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - ESPN,"@wendy.bri, snow, cold",espn,2000000,19900,170800,108600
1,1,Big Ole Facts - Jose Guapo,benetnicole,_b.enet,376700,1287,36200,1216
1,2,original sound - 🤟🏻Jurassic world🤟🏻,"volcano, mashedpotatovolcano, mashedpotatovolcanowithbroccolitrees, yummy, @wesintn",hayleyintn,755800,9319,81500,80500
1,3,AIN'T GONNA ANSWER - NLE Choppa & Lil Wayne,,kingminion_8,4600000,17100,296400,20400
1,4,original sound - alex,"@andrewemily16.official, @andrewemily2",andrewemily16,124300,865,3706,2834
1,5,original sound - Debbie Valdez,"fyp, fyp%E3%82%B7, couple, couplecomedy, couple, foryoupage, relationship, couplegoals, viral, couplelove, trending, xybca, funny, couplestiktok, relatable, foryou, boyfriend",debbiekval,2300000,4607,180000,17200
1,6,original sound - Sky Bri Twitch Clips,"@skybribaby, skybri, skybritwitch, clix, ogfortnite, fortnite",skybristreamclips,69800,189,3353,42
1,7,original sound - We_Tha_Future5,"blackmom, fyp, viral, content, relateable",we_tha_future5,104900,393,11800,1871
1,8,original sound - selam🦋,selam_live,selam_live,45800,25200,8859,87600
1,9,original sound - Vine Vault,"vine, vines, meme, memes, foryou, fy, fyp, foryoupage",yt_vpc3,334800,1180,44300,10500
1,10,Feather - Sped Up - Sabrina Carpenter,,by.imanx,83900,1195,8520,1851
2,0,YoungBoy - 💗,"nbayoungboy, yayamayweather, bluescrubspinkcrocs, hannahpoole",theehannahpoole,518400,4612,31300,5028
2,1,original sound - Pilobolus,,pilobolus,14000,228,2692,295
2,2,original sound - Julia,,krissymfkummins,2500000,21500,259899,132000
2,3,original sound - Shlatfish,,shlatfish,3800000,34100,568600,61000
2,4,som original - lalarinha,,breckiehill,73900,1134,82600,764
2,5,original sound - MILITARY EDIT 3,"funnymoments, navy",military_lp,40700,210,5171,126
2,6,Went Silly - King Von,"robloxhoodgame, robloxhoodrp, kingvon, oblock, cheating, ak",krazybando,12400,468,2640,258
2,7,original sound - Nate the Hoof Guy,"natethehoofguy, fyp, foryoupage, hooftrimming, hoofcleaning, hoofpicking, oddlysatisfying, hoofcare, hoofcareroutine, naptime, rocks, rockstar",natethehoofguy,3100000,25800,114300,23000
2,8,original sound - Put A Finger Down ☝️,,real.ona,63900,35,1517,4240
