batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - Whistle,"fyp, explore, apple, tesla, cybertruck, applevisionpro",whistle,437600,5377,32299,13400
1,1,Get In With Me - bossman._dlow,fypage,damesloveprince,535900,2386,53200,6370
1,2,original sound - KEEMOKAZI,onthisday,keemokazi,295300,1678,30900,999
1,3,original sound - Kimora_ontop,"capcut, fyp%E3%82%B7%E3%82%9Aviral, fy, thgedit, foryoupage, fyp%E3%82%B7",kimoagotmotion,141,2,201,0
1,4,original sound - ItzKbella,"lol, ceftokes, blinkybandit, blinkers, zootyville, ifyouaintblinkingyousinking, cef47, penjamin",ceftokes47,71000,314,5728,413
1,5,Princess bubblegum - Speed songs 🫶🏻,,m0rguekittyy,588100,6838,58600,9422
1,6,snowfall - Øneheart & reidenshi,"jackdoherty, christmas, wholesome",jackdoherty.com,24200,177,3318,27
1,7,original sound - 🎀,"fyp, godisgood, godisgoodiamnot, christiantiktok, christianitytiktok, athiest, witch, muslim, satanist, pagan, 2a, thebible, thelordsgiant",thelordsgiant,60900,316,5570,291
1,8,I Wouldnt Mind - ♱,"dadsquad, dad, parents",driskell_quints_dad,2400000,7395,120900,20400
1,9,original sound - Kri,"tiktok, fyp",kristinapopova240,25500,799,4772,2533
1,10,8 o clock in the morning - 666lolkevin,"fyp%E3%82%B7%E3%82%9Aviral, fy, goviral, trending, relatable, viral, food",rubdagoat,1774,2056,204,91
2,0,Originalton - Nidal_edits,"nalishforever, nidal, wonder, salish, matter, edit, nidaledits, @nidalwonderr_, @realjordanmatter",nidalfanpage,25300,90,2566,65
2,1,original sound - Joe fazer clips,"joefazer, height, traveltiktok",joefazerclips,1400000,12100,74100,1808
2,2,original sound - CheezaAfrikanaDancekids,"fyp, viral, trending, nigeria, nigeriantiktok, tenge",ogmaroo,834100,5558,94200,16700
2,3,The Mop - TisaKorean & Kblast & Huncho Da Rockstar,"xyzcba, fyp, viral, funny",patrickkdonley,196800,2458,19900,1484
2,4,original sound - elly♡,,ellycifuentes,883600,2601,55600,1214
2,5,original sound - riley mae,"tokyo, sushi, japan",rileymae,4783,19,281,0
2,6,Av x Rihanna Confession rmx - GS,,noelgoescrazy,218800,1518,11100,1241
2,7,original sound - House of Highlights,"drake, drizzy, streamdonation, funnystreamer",houseofhighlights,3200000,8309,203400,17600
2,8,Work It Out - NickPommeFritz,,preppyclaws,390000,1611,20400,1367
2,9,original sound - Royltyfamily,"youngmom, momandsongoals, familyphotos, kingferranedit, plsfyp, andreaespadatv, plsdontflop, ferranlepine, likes, blowthisup, momandsonforever, ilovemyson, ferranandsalish, tiktok, tiktokplsfypthis, youtubersvstiktokers, youtubeshorts, goviralplease, goviral, ferransdad, momandsontiktok, ilovemymom, momandsonbond",royltyfamily070,110000,0,7018,200
2,10,Little Life - Cordelia,@itgirl_,barstoolsports,182300,2053,6689,362
2,11,_iqueepjl on insta - kaka. 👻,kesfet,ddogaekin,7500000,27700,516400,154400
2,12,original sound - Nick Wilkins,,n1ckwilkins,42300,315,2240,47
2,13,original sound - RANGO TENGE TENGE 🇺🇬,@rangotengetenge,noelgoescrazy,12800000,116800,920200,262600
2,14,Wings (feat. sped up nightcore) [Sped Up Version] - Birdy,recovery,paulieepaull,14600,582,909,35
2,15,Another Love x Memories - Lezlie,"kevwithin, foryou, fyp",kevwithin,1000000,11600,81100,7554
2,16,original sound - Arcticz X Trikzz,,kimandnorth,442800,0,14100,1357
2,17,son original - Song-_-,"fyp, drakeconcert, drake, itsallablurtour, rap",prestonchazulle,999000,3755,49000,951
2,18,jennifers body ringtone - ligington,"fyp, foryoupage, relatable, trending, viralvideo, fortnite",sparkledfn,405400,5246,47600,7040
2,19,original sound - ab ❦,"kurdish, love, leavemealone",that.kurdish.gurl,61800,232,6200,549
2,20,original sound - House of Highlights,"@insaneshayne, catch, pickles, football",houseofhighlights,11300,167,285,20
2,21,Rocking A Cardigan in Atlanta - lil Shordie Scott,shafar_sjc,shafar_sjcs,2306,31,212,12
2,22,WHY IS MY SOUND POPULAR WHAT - 🫶🏻,"blackboxai, stayahead, fyp, school, finals, funny, meme, viral, softwareengineer, csmajor, auditorium, professor, university, class, flirt, riz, professorcrush",codewithclaude,288800,290,27100,356
2,23,Some Cut (Explicit Version) - Trillville,"@alexisdonyelle, @fenixxfitness, rebounderworkout, hiphoptrampolinebounce, trampolinefitness",fenixx.bounce,26100,366,2139,1984
2,24,christmas ahh sound - ☆Tumpula☆,"cotondetulear, dogsoftiktok, cutedoglife",coton_kiwi,5700000,40400,509600,120000
2,25,original sound - Kriss&Esme,"grwmroutine, grwm, getreadywithme, schoolrules, schoollife, grwmforschool, grwmmakeup",krissleos,676500,5956,54200,577
2,26,original sound - Jay Webb,,_jaywebbmusic,6184,58,437,22
3,0,Running Up That Hill (A Deal With God) [2018 Remaster] - Kate Bush,"@idk_whynoto, mrbeast, vietnam",yehslacks,816100,4651,64200,579
3,1,original sound - Camerin kindle,"foryou, fyp, couplegoals, pregnant, couple, baby, love, @brynleekindle",itscamerinkindle,567400,850,17000,3386
3,2,الصوت الأصلي - ديري,"funny, funnyvideos, trending, fyp",_funny.official,16200,64,759,144
3,3,3:15 (Breath) - Russ,@nono.bvm,m6xence,20700,299,1592,39
3,4,Imitadora - Romeo Santos,"fouryou, reparto, repartocubano%F0%9F%87%A8%F0%9F%87%BA, trend",ashli_lamomo2,101000,1366,3781,1630
3,5,original sound - relatable tik toks,"lululemon, lulu, stanleycup, stanley, elementaryschool, kids",jessandlivi_,993100,3673,71600,1868
3,6,original sound - sherrin and yixi,,sherrinandyixi,4400000,14600,395600,26700
3,7,Originalton - lily,"codcosplay, fyp%E3%82%B7, cod, codrecruit, codfyp, codcommunity, ghostcosplay, konigcod, cod",ghost.beann,53200,436,9505,124
3,8,10 minutes BGM for light training such as yoga(845880) - kakumaru,"arenabreakout, foryourpage, arenabreakoutmobile, tiktok",abreakoi,179000,995,8492,1640
3,9,8 o clock in the morning - 666lolkevin,"trending, fy, fyp, goviral, relatable, rubdagoat, sports",rubdagoat,1891,612,88,6
3,10,original sound - Tsol23,"fyp, 6ix9nine, polog, ynwmelly, nlechoppa, lilwayne, blueface",tsol.23,45300,287,3202,147
3,11,original sound - Mykoreandic,,mykoreandic,625900,8415,54600,1876
3,12,Paro - Speed Up TikTok - Nej',"fyp, desserts, london, liquidnitrogen, dragonsbreath, dessert, ilford",nitrotreatz,83500,333,4848,334
3,13,Tacata x Drop It Like - ARNEL REMIX,,kikakiim,701800,2674,57200,3112
