batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - ESPN,"@wendy.bri, snow, cold",espn,2000000,19900,170800,108600
1,1,original sound - Force_Effects,"crime, theft, gift, giftcards, store, christmas, criminal, thief, saftey, security",force_effects,690900,15100,71400,128900
1,2,original sound - dayz915,"atodamadre%F0%9F%8F%A7, %F0%9F%A4%99%F0%9F%8F%BD%E2%80%BC%EF%B8%8F%F0%9F%8F%A7%E2%80%BC%EF%B8%8F%F0%9F%A4%99%F0%9F%8F%BD, dd%F0%9F%92%ABuniverse, wyoming",dayz.915,513500,3657,35800,140200
1,3,оригинальный звук - никто,,esterbron1,43900,357,139100,477
1,4,original sound - Put A Finger Down,,jordansmikle,297300,34200,29800,208900
1,5,nightcrawler instrumental - audios,"pc, gaming, roblox, ok2yk, viral, techtok, setup",ok2yk,33300,7870,14200,1040
1,6,AIN'T GONNA ANSWER - NLE Choppa & Lil Wayne,@gavinmagnus,lovealwayspiper,143900,3715,9952,812
1,7,original sound - SpotifySongs,"foryoupage, fyp, xyzbca, viral, trending, fyp",absolutehumanbeing,95100,10500,15500,5756
1,8,original sound - carlin,"fyp%E3%82%B7, fyp",carleeleen,259500,2876,27500,2410
1,9,original sound - Movie3658,"foryou, fyp, movie, film, movies",zxhzxpxg7px,99400,160,12700,200
1,0,original sound - fr0sty_rick,"fyp%E3%82%B7, relatable, trending, aylecia, blowthisup, viral, qtips",leci.bby,280100,627,15500,163
1,1,original sound - Paul,,asher.lara,254800,1433,15700,1157
1,2,I Wouldnt Mind - ♱,"christiantiktok, christianhumor, christianjokes, christiancomedy, christian, christianitytiktok, godisgood, jesussaves, jesusislord",dangmattsmith,162600,2899,21000,671
1,3,Following just the New tiktoker - TikTok Queen🇧🇪 🇮🇹,ladykaylive,lady.kay_,44100,39500,16000,8509
1,4,Epic Inspiration - DM Production,,graciebonr,167000,4118,56700,17400
1,5,original sound - eminem 😉 >>,"fit, fitness, fittok, fitcheck, outfit, outfitideas, lululemon, eminem, polishgirl, poland, polish",imcocolemonxoxo,66100,764,213800,480
1,6,original sound - Kenayo Frederick,"fyp, fu, freesaucegod, highlightertutorial",nhlfreesaucegod,271800,1617,84400,4333
1,7,original sound - slspalace,"candaceowens, candacereacts, lilrt, children, rapping",sealspalace,144700,12000,31700,1624
1,8,Lovin On Me - Jack Harlow,"fyp, egirl, viral, fakebody",daisybloomss,97100,687,8808,311
1,9,original sound - Movie3658,"foryou, fyp, movie, film, movies",zxhzxpxg7px,99400,160,12700,200
1,10,original sound - Modeli,,smelimodeli,174000,833,45400,1051
