batch,index,music,hashtag,author,likes,comments,shares,saves
1,4,original sound - princeandtati,"@fashionnova, @novamen, couples, cute, couplegoals, tati, fyp, fyp, marrigehumor, love, maynardstv, funny, marrigevibes",maynardstv,48700,113,815,277
2,8,Little Life - Cordelia,"fyp, funny, funny_man_dakota, trend",funny_man_dakota,1300000,2300,57000,8418
2,17,Ick - Alt Ending - Lay Bankz,"foryou, trend, ick",lala_sadii,1500000,29200,112600,12100
2,21,suono originale - Mohamed Baho,"goodthing, music, family, tiktok, explore, %D8%A7%D9%83%D8%B3%D8%A8%D9%84%D9%88%D8%B1, fyp, fyp%E3%82%B7, foryou, viral, funny, funnyvideos, viralvideo, fouryoupage, %D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8, maroc, tiktok, musica",mohamedbaho,306200,9191,55300,44600
3,0,original sound - Jay,"diamantblazi, seckoff, bball, basketball, fyp, dance, gamewin, gameday, viral, foryou, trend, floridabasketball, florida, usa, usabasketball, trio, dunk",diamantblazi,74700,950,4404,744
4,10,orijinal ses - caner,"fyp, funny, fun, couplegoals, relatable, humor, viral, relationship, mad, trending",makayla.domagalski1,73100,212,3938,422
4,11,suono originale - spidey,"yo, ale, parati, fyppppppppppppppppppppppp, viral, noche, porfavornomedejenenflop, xzybca, lentejas, real, dance, nomeborreselvideotiktok",alexa.fks,235900,2375,37000,1275
4,16,original sound - ZRudy2299,"xxxtentacion, music, subway",u_zrudy2299,557000,5498,52600,8529
4,21,оригинальный звук - ㅤㅤㅤㅤㅤㅤㅤ,"diamantblazi, seckoff, bball, basketball, fyp, dance, gamewin, gameday, viral, foryou, trend, floridabasketball, florida, usa, usabasketball, trio, dunk",diamantblazi,27600,176,1945,207
5,4,original sound - Kam Tunechi 💕,"fyp, love, fun, relatable, viral, couplegoals, trending, pregnant, 34weeks, viral, humor",makayla.domagalski1,24600,244,678,66
