batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - REEKON Tools,,reekontools,641300,3864,105300,77600
1,1,original sound - divin,,ellielobio,230800,458,20500,606
1,2,original sound - user73102169903,,martassuw,29100,2982,1373,301
1,3,original sound - Teacher Tori,"test, professor, correction, school, teacher, englishteacher",teachertoristuff,298100,7860,10300,4153
1,4,original sound - billy,"mentalhealth, trauma, parents, therapy",billyvsco,35500,600,2283,365
1,5,Made for me remix - djrunit954,,theerealnettee,44900,294,3785,35
1,6,The Best Music For Praying and Worship - Worship Ensemble & Worship Music Piano & Contemporary Christian Music,,thatvitiligo_guy,18400,1084,2115,258
1,7,original sound - Bruh 😎,"funnyvideos, meme, cute, fyp, viral, humor, usa",memefunnys0,247500,1386,16800,9044
1,8,PITCH THAT ASS - MR. OH MY GAWD 😎,"@officialgsmooth, @pjhowardiv, @slim199x",hiphop_dancer06,630900,14200,45500,18700
1,9,original sound - Zach Choi,"tiktokfood, asmr",thezachchoi,4900000,25600,519200,84900
2,0,original sound - Lala,"strawberry, chocolate, yum, baking, foyou, dessert",lala_sadii,59800,978,3442,75
2,1,original sound - HolyGxd ( HolyGod ),,holygxd74,48300,415,3268,2704
2,2,"Suspense, horror, piano and music box - takaya","tiktokusa, usa, science, fyp, foryou, movieclip",movieclips93568,83200,825,7297,1133
2,3,bless. - suritasarapist69,,ypk.raye,37600,817,2810,1465
2,4,original sound - jovynn,"dj, icespice, trend, meme",itsjovynn,156100,1298,23000,761
2,5,original sound - ZakZakk,,funnymoments.0342,20500,91,1761,86
2,6,original sound - fed daisy,capcut,gabrielzulu15,33300,11600,10100,3331
2,7,PISTOL PACCIN - NLE Choppa & BigXthaPlug,,cooljake_48,1400000,3724,102500,7989
2,8,original sound - StreetzKnowledge💸,"fyp, streetzknowledge, hoodcycles, streetznky",streetzknowledge,291500,3885,56100,8725
2,9,son original - sundy jules,,sundyjules,732800,4573,30900,9030
2,10,original sound - Chaz May,"stanleycup, comedy, fyp, stanleytumbler",allthatchazz,1200000,8890,58000,71300
2,11,original sound - haleyybaylee,,haleyybaylee,631100,3080,27400,12300
2,12,DarkHorse - Colin McIntyre,"fyp, gym",colinmcintyre,691900,1344,38700,897
2,13,original sound - Mosiah,"funny, relatable",mosiah.h,310600,1213,44900,2282
2,14,original sound - Nutter Butter,"@angreebird_, burger, kitchenhacks, kitchengadgets, fyp%E3%82%B7",nutterbuttergear,1787,106,315,72
2,15,original sound - Death Whistle King,"aztecdeathwhisle, deathwhistleking, jazz",deathwhistleking,32500,177,6391,332
2,16,original sound - Whistle,"jumprope, basketballnet, @rockstar.bartender",whistle,721600,15600,79200,68300
2,17,original sound - Brent Rivera,,brentrivera,974400,6641,51400,20900
