batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - REEKON Tools,,reekontools,641300,3863,105300,77600
1,1,lowe.dat - suritasarapist69,"@pkbsbl24, fyp, therealcoolspot, glitch, newtrend, viral, trending, glitchoverlord, glitchapocalypse, new",therealcoolspot,445000,2648,35800,1472
1,2,Chandelier - Sia,"@duolingo, duolingopartner, luckyduo, couplestiktok, husbandwife, love, marriage, vowrenewal, surprise, reaction",noahandlori,82000,255,4138,162
1,3,Love You So - The King Khan & BBQ Show,,tiktokuuss123,12600,539,1311,212
1,4,Bleenta - meeli9,"dance, dancechallenge, tiktok, tiktokdance, dancing, viral, viralvideo, dancevideo, positivity, positivevibes, positiveenergy, fyp",be_yourself_dylan,1100000,34200,157100,161700
1,5,original sound - kipfazuo,"sydneysweeney, glenpowell, darrenbarnet, tiktok, foryou, fyp, movie",kipfazuo,71000,90,4569,212
1,6,original sound - 🤷🏻‍♀️🤷🏻‍♀️.,rizz,mahim.tn,49800,153,4210,369
1,7,original sound - Spade_Q_Magic,"fyp, magic, magictrick, magicshow, bestmagic, tiktokmagic, magictrick, foryoupage, foryou",spade_q_magic,8910,46,1061,333
2,0,orijinal ses - tr,smalllips,bhaavikagaddam,38500,732,3455,70
2,1,FEELS LIKE A FEM QUEEN - Kevin Jz Prodigy,"fyp, xyzbca, cozyfinn, flipbook, tree",lavend3rmead0ws,1600000,5863,177400,8731
2,2,original sound - Nightlyrave designs,,brianna_faison,34900,326,4594,105
2,3,original sound - R4Nd0MconT3N,"masukberand, xybca, fypage, baileyspinnpov",r4nd0mcont3n,448,126,137,37
2,4,original sound - ahhkawaii,"capybara, plush, plushtoys, giftidea, funny, fyp, trendingvideo, capybaratiktok, surprise",ahhkawaii,610500,2668,36700,4328
2,5,nhạc nền - How,,beasmith19582,419100,1984,33100,12800
2,6,Dubidubidu - Christell,,chelcyzqx,26200000,177800,2800000,515600
2,7,original sound - bamboocottege,,bamboocottege,78400,468,5935,19100
2,8,Sunlike Brothers and ToneNation ET - ❤4MUSIC,@laynab.513,proud_momma80,1185,5,56,2
2,9,original sound - pookies,,jays_hubby_forlife4,16,1,1,0
2,10,just a littel bitty baby - ._.🏊‍♀️swimming🏊‍♀️._.,"freecomedy, themannii",the_mannii,24700,495,3791,455
2,11,original sound - Curious Feed,"boys, satisfying, curiosity",curiousfeed,236700,14400,27600,118000
2,12,choose challenge - Queen👑 of Emojis 💛,"fyp, tiktokkenya%F0%9F%87%B0%F0%9F%87%AA%F0%9F%87%B0%F0%9F%87%AA%F0%9F%87%B0%F0%9F%87%AA, vicky_v_i_i",vicky_vii_,69000,723,5085,695
2,13,original sound - lilmark,,lilmark_m256,48000,292,6914,242
2,14,Mix it - ︻デ═一,"fyp, fyp%E3%82%B7, foryou, foryoupage, viral",kiingjojo.inc,322100,1716,29500,7553
2,15,IS YA READY BOOSTED - ʳᵉᵃᵖᵉʳgravez (training arc),"2xdotti, fyp, dahood, roblox, robloxfyp, robloxgames, robanger, robanger, robloxhoodgame, robloxfunny, robux, bronx, dahoodfyp, makemefamouse",flikqz2x,49800,824,12100,1262
2,16,original sound - DJ L BEATS,,b.e.n_rl,77100,1974,8649,3301
2,17,Wop × Untouchable - ARNEL REMIX,,girl2484,165100,900,9660,1518
2,18,suono originale - spidey,,kipi_ski7,532100,4155,63300,4529
2,19,Never Lose Me - Flo Milli,,itsyaboyryantang,8573,110,1189,91
2,20,original sound - massiah90,"jmassiah, jmassiah90, fyp, foryou",jmassiah901,431300,7894,60700,14700
2,21,original sound - user2124225544252,"@om_the_1, juicewrld, lljw, juicewrldart, juicewrldedit, art",_niha.x,107500,954,11900,541
2,22,original sound - Funnyvideo,,funclip_no4,364,3,33,111
2,23,Lalala - Y2K & bbno$,"gym, gymtok, gymhumor, gymgirl, girlswholift, funny, fittok, @legionathletics, @aybl",gymoholicz,77900,781,4215,135
2,24,Cha Cha - ZEDDY WILL,"shafar_sjc, foryou, fyp, viral, sturdy",shafar_sjc,70300,433,2628,358
2,25,Originalton - UVC Holding Graz,"uvcholdinggraz, volleyball, party, uvcjuniors",uvc_holding_graz,147400,329,9939,897
2,26,Beautiful Things - Benson Boone,"blackboxai, stayahead, fyp, school, finals, funny, meme, viral, softwareengineer, csmajor, auditorium, professor, university, class",codewithclaude,49200,101,5636,158
2,27,Emotional Love - Azwar,"helping, helpinghand, helpingothers, helpinghomeless, help, millionaire, give",john.millionaire.fan,30700,250,2287,218
3,0,original sound - Funny,"meme, funnyvideos, fyp",memebrzi,4700000,35800,479800,157900
3,1,First Girlfriend - Tydus,,waka_paka,187300,4747,26100,3875
3,2,All I Do Is Win - DJ Khaled,"tall, tallfamily",thattallfamily,7600,601,415,45
3,3,original sound - Khan Baba,"thebeast, hulk, khanbaba",khanbaba0991,88500,3909,6389,4721
3,4,оригинальный звук - ㅤㅤㅤㅤㅤㅤㅤ,,diamantblazi,72800,270,4763,433
3,5,Monkeys Spinning Monkeys - Kevin MacLeod & Kevin The Monkey,,fosddddooo11,56800,5821,18200,21500
3,6,som original - 🌵maxsolayne🌵,,_maxsolayne__,581100,4648,42200,14800
3,7,original sound - salmanjan,"foryou, foryou, foryou",juda515,59300,2395,4489,14900
