batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,KBLAST BACK IT UP - Blast2.0,,sgc_von,260300,486,35300,2150
1,1,original sound - ⭐️,"fyp, fyp%E3%82%B7, relatable, recommendations, jakewebber, pookie, cute",gummybear3535,1500000,54400,199700,49700
1,2,original sound - Paul,,asher.lara,254200,1433,15700,1123
1,3,show u off - DJ Simmy,"fyp, easyhairstyles, hairstyletutorial, hairstyle, foryourpage",xo.miya7,7482,30,1299,35
1,4,original sound - gem🕷,"@killedbils, billie, eilish, billieedit, billieeilishedit, goldwinqs, vsp, vspedit, cc, capcut, capcutedit, videostar, videostaredit, edit, hotedit, hot, edits, billieeilish, editaudio, ifyouthinkimpretty, layyourhandsonme, collab, editors, collabedit, killedbils, @billieeilish, @billieeilishhome",goldwinqs,12600,82,5115,110
1,5,original sound - niah <3,fyp,repscj_1,252600,1269,28100,1689
1,6,original sound - ChefPierce 👨🏾‍🍳,fyp,chefpierce,466200,2823,56500,1611
1,7,original sound - YUNG GOAT 🐐,,jiah.khann,47100,74,2377,64
1,8,Meow - Dust☆,,alishhaa,4019,9,147,12
1,9,original sound - Bobby Solez,"@jesseis.cooler, fashion, fashiontiktok, fashiontok, bobbysolez, jakepaul, outfit, outfitideas, sneakers, sneakerhead",bobbysolez,11400,1441,796,31
1,10,2 days into college - Aimee Carty,,nnotej,323100,965,16700,487
2,0,original sound - MDT Network,"trump, breakingnews, today, meidastouch, speaker, msnbc, cnn, foxnews, speaker, news, mccarthy",mattieunderwood1987,24000,5910,2919,2177
2,1,Amor Eterno - Juan Gabriel,"parati, foryoupage, foryou, fyp, viral, taylorswift, vmas",.flxisa,152900,1374,13500,6683
2,2,original sound - Declan McKenna Daily,"fyp, foryou, trending, dogsoftiktok, dogtok, petsoftiktok, viral, dog, relatable, rescuedog, pets, rescue, dogdad",dittawiggles,907900,810,42600,2706
2,3,original sound - Penn State SPA,"psu, pennstate, psuspa, lecture, dylanmulvaney, studentprogramming, pennstateuniversity",psuspa,5196,0,187,1726
2,4,original sound - jadeblairxox,@melijane232,jadeblairxox,27700,489,2326,2303
2,5,有你在 (1.4倍速甜妹版) - 赵露思,"khoanhkhacdangyeu, dethuong, cute, dangyeu, kh%E1%BB%89",petcute89.98,345600,9786,32200,47500
2,6,original sound - Emma.Louise11.11,"fyp, barbaraoneill, oilpulling, teeth",emma.louise11.11,63900,711,28300,13900
2,7,Christmas - neozilla,"quickelfontheshelfideas, easyelfideas, fyp, elfontheshelf2023, easyelfontheshelf, eots2023, lastminuteelfidea",kimberleylucas_,531600,2099,35600,19100
2,8,Dj Stadium X Melody Legend - Azay DTM,"driver, truckdriver, driving, fyp, tiktok, foryou",cool0550,47200,2059,5024,24500
2,9,sonido original - Los Parrilleros,"hombres, mujeres, podcast, viral",losparrilleros,91900,4029,12400,72700
2,10,original sound - Caitlin Emiko,"iwastodayyearsold, airpodhack, airpods",caitlin.emiko,741800,2955,140300,38300
2,11,original sound - Jimmy Chang,"dogdad, lovemydog",ridewithjimmy,8840,231,205,22
2,12,original sound - Bella dueñas,,belladuenas,738100,10800,42200,1712
2,13,original sound - Shaneyyricch,shaneyyricch,shaneyyricchh,1900000,42300,75200,27100
