batch,index,music,hashtag,author,likes,comments,shares,saves
2,1,Amor Eterno - Juan Gabriel,"parati, foryoupage, foryou, fyp, viral, taylorswift, vmas",.flxisa,152900,1374,13500,6683
2,2,original sound - Declan McKenna Daily,"fyp, foryou, trending, dogsoftiktok, dogtok, petsoftiktok, viral, dog, relatable, rescuedog, pets, rescue, dogdad",dittawiggles,907900,810,42600,2706
2,8,Dj Stadium X Melody Legend - Azay DTM,"driver, truckdriver, driving, fyp, tiktok, foryou",cool0550,47200,2059,5024,24500
2,9,sonido original - Los Parrilleros,"hombres, mujeres, podcast, viral",losparrilleros,91900,4029,12400,72700
2,20,Ghibli-style nostalgic waltz - MaSssuguMusic,"greenscreen, roranotaurora, perte, neiperte, foryou, foryoupage, taylorswift, taylorsversion, swiftie, red, folklore, evermore, 1989, reputation, lover, debut, fearless, speaknow, speaknowtaylorsversion, swiftietok, taylorswiftedit, speaknowtaylorsversion, speaknowtv, theerastour, theerastourtaylorswift, 1989taylorsversion, dearreader, midnights, 1989taylorsversion, theerastourfilm, taylurking, tstheerastourargentina, reputationtaylorsversion, tayvis, traviskelce, need, needtaylorswift, romanempire",roranotaurora,520600,3109,46300,4849
2,21,original sound - CG.TV,"funny, grandad, fyp, foryou, fyp%E3%82%B7, viral",comedytv_golden1,2300000,9077,168900,54000
2,23,juampabli - Car_Edits,"fyp, dodge, viral, %F0%9F%92%80",car._hub.editz,674500,1819,83600,54500
2,24,som original - 🎥: Paparazzi Videos,"morgan, morganfreeman, freeman, paparazzi, paparazzivideos, trending, fy, foryou, nyc, newyork",videospaparazzi,69900,1098,2662,970
2,25,Respectless - Andrew Underberg & Sam Haft & Daphne Rubin-Vega & Lilli Cooper & James Monroe Iglehart,"trolls3, trolls, velvet, veneer, velvetandvenner, veneertrolls, velvettrolls, fyyyplppp, myart, viral, artist, trollsbandtogether, edit, fyp%E3%82%B7%E3%82%9Aviral, fypage, exvillians, besties, trolls3bandtogether, xyzabc, parati, velvetandvenner, jailmates, jailfight",souxie_43,931500,2139,152100,3386
2,26,GTA IV - Kayra,"foryou, fyp, football, gtavi",holyboka,197700,3805,21300,9456
