batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,All Night - Ndup,"fyp, foryou, foryoupage, xybca, xyzabc, viral, trending, relatable, dexinlive",dexinlive,366300,6277,48100,22200
1,3,original sound - billiesxfuture,"billieeilish, fyp, vsp, velocity, xyzbca, billiesxfuture, billieeilishedits, billie, blondiebillie",billiesxfuture,118000,711,28400,544
1,4,original sound - Love ♥ BankrollDyl💸,"fyp, bankrolldyl, funyyvideos, beautiful",i.tsbankrolldyl,1963,13,352,15
1,5,original sound - Goldenfilmz🎞🌼,siblings,_milkymuffin_,698500,1676,29300,1903
1,7,original sound - LYRICS VILLA,,..hannah13,46800,870,1818,77
1,8,original sound - kb !! | fashion & fitness,"fyp, zyxcba, foryou, relatable",quesadillabrown,66000,905,1323,47
2,1,original sound - Offendinyou,"offendingeverybody, animated, fyp",offendinyou,1471,5,210,4
2,3,GoodGooglyMooglyyy - Undergroundmusiclover,"fyp, viral, trending, relateable",prob.kam,116700,1187,12400,1628
2,4,sonido original - Fanny.baby.u6,,funny.baby.6,2400000,25000,306600,113600
2,5,original sound - charless,"billieeilish, billieeilishedit, aezpbills, fyp, foryou",aezpbills,53000,368,18000,569
2,8,dźwięk oryginalny - wikiblue,,yammeislitt,2516,52,188,57
2,13,original sound - Broncore,"fyp, viral, tiktok, funny, jokes, bestfriend, conversation, random, annoying, relatable, brockton, massachusetts, brocktonhighschool",jarredmighty6,1500000,17300,127800,15900
2,14,original sound - 𝕭𝖚𝖋𝖋𝖔𝖔𝖓,"fyp, fyp, Love, A, blowup%3F, blowthisup",xx_j61,22000,651,4470,1997
2,15,sonido original - Sosa jhons,,sosajhons,782900,20100,52800,26300
2,16,Silencio Por 4 Minutos - Adolf Alois891,"familymatters, 90stvshows, 90sthrowback, showclips, foryoupage, fyp",throwbackvibessss2.0,6247,37,394,37
2,17,2 days into college - Aimee Carty,"fyp, basketball, hooper, relatable, viral, whoisjadenn",whoisjadenn,203100,1139,16700,1128
2,19,original sound - Jesse,"jesserejame, tmcjesse",tmcjessee,363400,4614,36900,7523
2,20,original sound - Barstool Sports,"@barstooloutdoors, @bethanywiggins8",barstoolsports,1200000,7974,70700,67000
