batch,index,music,hashtag,author,likes,comments,shares,saves,video_id
1,0,original sound - Yungboyvic,"yungboyvic, foryou, trending",yungboyvic_ybv,124000,1666,11600,1797,xgwrapper-0-7322531366233705733
1,2,Made for me remix - djrunit954,"@danielaagui1ar, @reginamochii, bestfriend, besties, friendshipgoals",reginandaniela_,4405,145,845,44,-1
1,3,оригинальный звук - 🤍spotify🤍,,yammeislitt,1977,34,144,13,-1
1,5,original sound - brii .,"brisblixks, briblixks, xbyzca, fyp, fanpage",.brisblixks,212,5,36,1,-1
1,6,original sound - Cameron Roh,fyp,cameronrohpovs,76400,770,11900,400,-1
1,11,heather is a major sheep - Ang,"fyp%E3%82%B7, generations, fyfyfyfyfyfyfyfyfyfyfyfyfyfyfyfyfyfy",urfavegirlsgal,41300,294,5911,575,-1
2,0,Love You So - The King Khan & BBQ Show,"skincare, beauty",michaelgrullon_,18200,504,2006,154,-1
2,1,som original - yeah,,stunnastina,621700,1764,52100,4110,-1
2,6,original sound - chase,"mm2, mm2roblox, mm2fyp, mm2funnymoments, robloxfyp, mm2sheriff",mm2.frosty,23700,463,2890,56,-1
2,7,Love songs - ⭐️,,emresuveren,2100000,13100,230800,44800,-1
2,8,original sound - rkempiree,cakeflipping,rkempiiree,164700,784,14700,504,-1
2,9,original sound - Global Things,"d%C3%BAo, fyp, parati, viral, humor, rango",bryan_alvarez,46100,361,8682,888,-1
2,10,original sound - ☆ fairlybillies ☆,billieeilish,fairlybillies,57200,201,6503,251,-1
2,17,original sound - HumorDarius,,humordarius,57100,773,5362,627,-1
2,21,som original - Rafael Silva,,rendi_popping,8098,114,541,31,-1
3,0,original sound - Zach 🏈,"fyp, fypage, foryoupage, realatable, npctraintrust",bokyy._,151300,18600,42900,2066,-1
3,1,Biesiadne Czerwone i bure - Don Tomasz,,yammeislitt,43700,278,3087,959,-1
3,3,sonido original - gato,"teterete, jacintoelmarciano, pedritomeelectrucutaste",circodeteterete,749400,10100,82500,103000,-1
