batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,BETTER chica sorry - fangirleditz,fnaf,bebopandbebe,104100,4239,10500,584
1,1,Get In With Me - bossman._dlow,fypage,damesloveprince,534400,2380,53000,6358
1,2,original sound - 🫶🏻,"booktok, percabeth, percyjackson, slowburn, walkerscobell, aryansimhadri, leahsavajeffries, disney, interview, percyjacksoninterview",filmfangirling,847900,740,49300,1600
1,3,original sound - abs,"abisadvice, fyp, viral, blowthisup, zyxbca, tips, tiktok",.abisadvice,4034,23,1107,13
1,4,original sound - ✮,"tomkaulitz, tomkaulitz, tokiohotel, tokiohoteledit, tomkaulitzedits, tomkaulitzedit",evieskaulitz,47600,485,19000,446
1,5,original sound - The Relationship Hub,,asher.lara,1745,107,127,2
1,6,original sound - Brodieshredz,"fyp, viral, foryou, fitness",brodieshredz,659600,889,43100,1871
1,7,som original - elsonoliveira229,,elsonoliveira9781,359400,70100,50400,174500
1,8,voices - Øneheart,"fyp, crush, viral",joshterrellclips,8166,53,592,27
1,9,оригинальный звук - 〰️HAJIMERECORDS〰️,,gdemoisiski,81200,207,4377,228
1,10,original sound - cz,,c4pr1i,87300,427,10900,662
1,11,original sound - Caden🖤🕷️,"ripcrybaby, melaniemartineztrilogytour, melaniemartinezfan, melaniemartinezcosplay, melaniemartinezedit, melaniemartinezjingleball, melaniemartinezcrybaby, crybabymelaniemartinez, crybaby, crybabyperfumemilk, crybabytour, melaniemartinez, fyp%E3%82%B7",caden_webb16,27600,257,4764,129
2,0,original sound - Evandinner 💫,,tha_lotl,212800,871,22700,2526
2,1,coffee - adrianaaaa,"fyp%E3%82%B7, foryoupage, blowthisup, date, fyp%E3%82%B7%E3%82%9Aviral, viral, arcade",jaygonalwaysputakonit,15100,40,1278,164
2,2,original sound - 𝐀 𝐋 𝐄 𝐗 𝐈 𝐒🩷⃤♡⃤,"grwm, xyzbca, foryou, viral, fyp, foryoupage",alexisluvsss_,68400,1106,11300,731
2,3,Bounce When She Walk - Ohboyprince,"hyugahinatacosplay, hinatahyugacosplay, hinatacosplay, narutothelast",kora.aura,45000,224,8103,248
2,4,original sound - r e y a n n a (grwm),"grwmforpookies, fastgrwm, winterskincareroutine, quickmakeup, easyskincare, fypgrwm",grwmforpookies,407300,836,25600,211
2,5,Zubi Zubi Zuu 2 - Zup,"fyp, foryou, foryoupage, zupku",zupku,109000,1161,15900,836
2,6,original sound - gwizzle,"gwizzlecarjams, heartattack, throwbacksongs",gwizzle_,2000000,4405,155000,10100
2,7,Pope Is a Rockstar - SALES,"fyp, viral, smallbusiness, cute, fyp%E3%82%B7",anxietycouple,184000,601,12000,202
2,8,Right Round - Flo Rida,@thanksgivingmovie,milomanheim,301800,607,11600,384
2,9,оригінальний звук - music ♫,"lego, legobatcave",ema_bb0,682100,5424,65300,4516
2,10,original sound - 𝑺𝑶𝑷𝑯,"tomkaulitz, tiktokmutedit, tokiohoteledit, foryoupage, editor, k3aulitzz, 2000er, tomkaulitz, tomkaulitzedit, tokiohotel, y2k, viral",k3aulitzz,7555,169,3109,126
2,11,original sound - The Relationship Hub,,rebeccazamolo,125500,982,5644,216
2,12,original sound - 🐎🐴,"foryoupage, foryou",trashstarrxx,43200,1345,4658,1323
2,13,original sound - kat,,jaydennnsantanaaa,5536,108,873,60
2,14,original sound - .,,iyakhyar0v,41200,874,3360,145
2,15,original sound - niah <3,"fyp, foryoupage, trending, xyzbca, viral, blowthisup, fyp%E3%82%B7, nyc, relatable",rayneverlackinnnn,2794,1006,325,1301
2,16,"Never Meant to Belong (From ""Bleach"") - Akatsuki no Team","fyp, dog, xyzabc",nt.isaac,4300000,21300,553000,128699
2,17,original sound - beasuser,,matthewsieverin,51000,663,11600,241
2,18,original sound - Isabella,"fyp, real, viral, fyp, relatable, viralvideo, fyp%E3%82%B7, zyxcba, xybca, redthought, honest, fy, lol",isabella.obviously,1300000,10700,138100,8616
2,19,original sound - Anabel❤🌹,,northstarboys,49800,604,5387,235
2,20,original sound - The Real Street Family,"funny, trendyy, biracialcouple, marriage, relatable, foryoupage, fyp",therealstreetfamily,5195,29,307,33
2,21,Bestie - Jayhmes & DeonSzn,tfzahh,tfzahh,102300,408,7804,1074
2,22,My Love Mine All Mine - Mitski,"seizethelove, drdarryring, drring",ivanitaalomeli,448900,998,30900,502
2,23,original sound - Rae,"fyp%E3%82%B7, tsquad",theo4x_,5558,35,721,38
2,24,original sound - jeanmegan06 - Number 8,,jeanmegan06,23500,301,5544,3647
2,25,original sound - dashtheekidd,"moana, disney",dashtheekidd1,16400,1080,2366,88
2,26,original sound - MillyBrownBob,"breakup, braces, pain, trending",autumnnmonique,188600,1003,12500,111
2,27,escape - Kilgore Doubtfire,"fyp, bible",dunnmorgan,4400000,28600,332700,20800
3,0,som original - EBK.TJAY,"foryoupage, ddosama, sugarhillddot, nycdrill, fyp, edit, blowthisup, chill, ddosamaedit",ebk.tjay7,7283,61,1478,57
3,1,original sound - alexis<3,,luv.exe333,1800000,15700,185500,30300
3,2,original sound - em ma,"fyp, xyzbca, dedgirl, pinkhair, grwm, religion, omnism",elm0zwrld,393100,5662,27000,347
3,3,original sound - MaiMai⭐️,,maybemaimai,171000,1383,37100,1108
