batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,Creepy horror sound - TOKU SPACE MUSIC,"facts, randomfacts, curiosity, learnontiktok, factsyoudidntknow",learndailyy,257600,27800,25600,194300
1,1,original sound - divin,,ellielobio,208400,398,18300,584
1,2,original sound - Xen EHarvey,"fortnite, fortnitetips, fortnitetipsandtricks, fortnitefunny, fortnitefunnymoments, fortnitechapter5, crosshairx",eharveyy,445600,2445,215800,15900
1,3,original sound - ruby☆,capcut,fan_skz.hyunjin,3969,162,1250,40
1,4,original sound - —𝐒𝐭𝐚𝐫.🌴🥥,"berryave, roblox, berryavenuecodes, edit, viral, fyp, blowthisup, bestfriend, real, berryavenue",star.ave,5,0,0,0
1,5,original sound - Toyy,"deodorant, friends, paramore, herway, herwaychallenge, presidentdeborahalivilliams, deborahaliwilliams, floptok, flopera",toyyii_,1200000,2990,122900,8267
1,6,оригинальный звук - Fanila,,gdemoisiski,11800,71,449,67
1,7,original sound - Sasher🤍,"sophiefergi, sasheredits, fyp, asherandsophieferig, asherlarafanpage",sasher.sa,20200,75,1598,9
1,8,Cha Cha - ZEDDY WILL,,rivovershares,81700,1984,7035,53
1,9,original sound - <3,"fyp, jahsehonfroy, xxxtentacion, foryourpage",illovejahseh,34000,135,3117,49
1,10,original sound - 𝐀𝐔𝐃𝐑𝐄𝐘,"floras0ra, floraranya, ehs, berryavenue, lululemon, outfitcodes, jointoday, fun, quality, robloxgameplay, roblox, berryave, ave, amberry, robloxedits, grwm, fyp",audsvue,3976,136,788,20
2,0,original sound - Jay,"diamantblazi, seckoff, bball, basketball, fyp, dance, gamewin, gameday, viral, foryou, trend, floridabasketball, florida, usa, usabasketball, trio, dunk",diamantblazi,82400,455,5244,349
2,1,original sound - Toyy,"fluent, friends, paramore, herway, herwaychallenge, presidentdeborahalivilliams, deborahaliwilliams, floptok, flopera",toyyii_,457400,4384,47100,5285
2,2,original sound - .princesadino,@3xoxprincess,.princesadino,20,0,1,1
2,3,Famy ava - Dho.,,chcpop,12700,50,1998,154
2,4,som original - ruan e cami,"shameless, carlgallagher, whiteboycarl, core, carlcore, shamelessus, foryou, fy, viral, series, fyp, shamelessedit, edit",thecinecouplee,232900,536,32500,1065
2,5,one call by rich amiri CYBER SPEED - cyberundergr0und,,jaytalley3,86800,1083,7930,1473
